role,before_sessions,before_reads,before_redundancy_rate,before_edits,before_rae,before_rae_rate,after_sessions,after_reads,after_redundancy_rate,after_edits,after_rae,after_rae_rate,delta_rae_rate,total_edits
coder,77,1215,21.6,320,53,16.6,298,3476,41.9,2724,519,19.1,2.5,3044
architect,144,2460,20.0,1190,290,24.4,29,227,22.9,67,19,28.4,4.0,1257
dev-orchestrator,0,0,0.0,0,0,0.0,86,6569,39.1,1119,306,27.3,27.3,1119
design-orchestrator,0,0,0.0,0,0,0.0,162,2693,24.8,961,173,18.0,18.0,961
prompt-dev,0,0,0.0,0,0,0.0,39,1112,39.5,817,229,28.0,28.0,817
design-writer,0,0,0.0,0,0,0.0,63,394,23.9,803,32,4.0,4.0,803
product-lead,0,0,0.0,0,0,0.0,50,2759,35.3,750,164,21.9,21.9,750
design-lead,0,0,0.0,0,0,0.0,105,2370,22.2,731,127,17.4,17.4,731
reviewer,320,4324,18.2,577,114,19.8,77,1063,19.0,103,23,22.3,2.6,680
prompter-orchestrator,0,0,0.0,0,0,0.0,15,539,36.2,477,111,23.3,23.3,477
tech-writer,0,0,0.0,0,0,0.0,114,681,23.1,461,74,16.1,16.1,461
frontend-coder,0,0,0.0,0,0,0.0,74,716,15.8,435,82,18.9,18.9,435
kb-writer,0,0,0.0,0,0,0.0,92,637,11.6,349,16,4.6,4.6,349
claude-code,613,6508,12.7,332,41,12.3,209,64,7.8,0,0,0.0,-12.3,332
ux-lead,0,0,0.0,0,0,0.0,2,337,39.2,303,47,15.5,15.5,303
code-documenter,0,0,0.0,0,0,0.0,37,420,20.7,258,29,11.2,11.2,258
product-manager,0,0,0.0,0,0,0.0,18,727,27.5,147,46,31.3,31.3,147
architect-lead,0,0,0.0,0,0,0.0,15,273,22.7,102,19,18.6,18.6,102
code-mirror,0,0,0.0,0,0,0.0,34,686,2.3,94,10,10.6,10.6,94
muse,0,0,0.0,0,0,0.0,4,174,46.0,76,30,39.5,39.5,76
browser-tester,25,581,11.5,71,16,22.5,8,52,0.0,0,0,0.0,-22.5,71
explorer,60,835,14.7,53,11,20.8,84,1362,7.5,3,1,33.3,12.6,56
kb-lead,0,0,0.0,0,0,0.0,8,156,19.9,43,12,27.9,27.9,43
smoke-tester,10,188,14.4,32,12,37.5,17,247,32.8,0,0,0.0,-37.5,32
verifier,51,818,10.3,30,10,33.3,11,9,11.1,2,0,0.0,-33.3,32
unit-tester,3,142,9.9,13,5,38.5,9,52,30.8,13,0,0.0,-38.5,26
